No.,å½“å‰æœ€å¤§è¯¯å·®(åŒè¾“å…¥),å…¨å±€æœ€å¤§è¯¯å·®(åŒè¾“å…¥),å¼•èµ·æœ€å¤§è¯¯å·®çš„è¾“å…¥ç¼–å·1,å½“å‰æœ€å¤§è¯¯å·®(åŒç®—å­),å…¨å±€æœ€å¤§è¯¯å·®(åŒç®—å­),å¼•èµ·æœ€å¤§è¯¯å·®çš„è¾“å…¥ç¼–å·2
0,0.0001917767261507275,0.0001917767261507275,0,0.00015792128791830562,0.00015792128791830562,0
1,0.002590662636582919,0.002590662636582919,299,0.002081645826489509,0.002081645826489509,737
2,0.0025902126365838773,0.002590662636582919,1269,0.0020820958264893275,0.0020820958264893275,1629
3,0.0026984215,0.0026984215,2044,0.002048552,0.0020820958264893275,2006
4,0.002612852497994478,0.0026984215,3002,0.002102981275706628,0.002102981275706628,3335
5,0.0027433634,0.0027433634,4307,0.002087448471950193,0.002102981275706628,4217
6,0.002589312636584351,0.0027433634,5379,0.0019279394981566167,0.002102981275706628,5379
7,0.002613302497997072,0.0027433634,6597,0.001953,0.002102981275706628,6519
8,0.0021495223,0.0027433634,7406,0.0021485686,0.0021485686,7406
9,0.002200054392743317,0.0027433634,8226,0.0018613208722374486,0.0021485686,8238
10,0.002788663,0.002788663,9722,0.0020884573,0.0021485686,9504
11,0.0017045240734477746,0.002788663,10484,0.001537875557099208,0.0021485686,10695
12,0.0021427944,0.002788663,11269,0.0016520873763801736,0.0021485686,11149
13,0.0025888626365845324,0.002788663,12315,0.001927489498156798,0.0021485686,12315
14,0.0020296574,0.002788663,13079,0.0015960298,0.0021485686,13610
15,0.0019985735,0.002788663,14100,0.001508832,0.0021485686,14121
16,0.002613752497994337,0.002788663,15252,0.001953,0.0021485686,15045
17,0.0020618439,0.002788663,16176,0.0015933663,0.0021485686,16746
18,0.0021942258,0.002788663,17255,0.0021894574,0.0021894574,17255
19,0.002389504431013628,0.002788663,18136,0.0014233230247250872,0.0021894574,18029
20,0.00219960439274422,0.002788663,19182,0.001860870872235576,0.0021894574,19218
No.,µ±Ç°×î´óÎó²î(Í¬ÊäÈë),È«¾Ö×î´óÎó²î(Í¬ÊäÈë),ÒýÆð×î´óÎó²îµÄÊäÈë±àºÅ1,µ±Ç°×î´óÎó²î(Í¬Ëã×Ó),È«¾Ö×î´óÎó²î(Í¬Ëã×Ó),ÒýÆð×î´óÎó²îµÄÊäÈë±àºÅ2
0,0.0009785059488210818,0.0009785059488210818,0,0.0005510764849240152,0.0005510764849240152,0
1,0.0030822577214821845,0.0030822577214821845,432,0.001953,0.001953,27
2,0.003264380295174174,0.003264380295174174,1225,0.0022611618,0.0022611618,1849
3,0.0032708543780685106,0.0032708543780685106,2033,0.0018843204023535898,0.0022611618,2430
4,0.0029152632,0.0032708543780685106,3483,0.002306223,0.002306223,3806
5,0.003315854378065586,0.003315854378065586,4259,0.0017712122666904973,0.002306223,4493
6,0.0030825138,0.003315854378065586,5679,0.0018843204023532567,0.002306223,5160
7,0.0031433105,0.003315854378065586,6114,0.001863392899690619,0.002306223,6143
8,0.002915144,0.003315854378065586,7611,0.0021294466748648516,0.002306223,7862
9,0.0029269509336875554,0.003315854378065586,8390,0.0023428254148887273,0.0023428254148887273,8390
10,0.0033608543780654365,0.0033608543780654365,9527,0.001606860639939811,0.0023428254148887273,9275
11,0.002316848028238949,0.0033608543780654365,10116,0.001771465,0.0023428254148887273,10071
12,0.0032646656,0.0033608543780654365,11112,0.0018843800069984762,0.0023428254148887273,11556
13,0.0030822754,0.0033608543780654365,12795,0.0018255711,0.0023428254148887273,12203
14,0.0031514168,0.0033608543780654365,13784,0.0021347923537432534,0.0023428254148887273,13339
15,0.00277274190877419,0.0033608543780654365,14672,0.0016921759,0.0023428254148887273,14346
16,0.0025035143,0.0033608543780654365,15633,0.0015568733,0.0023428254148887273,15699
17,0.0025644004,0.0033608543780654365,16091,0.0017587751784583494,0.0023428254148887273,16911
18,0.00263321769537192,0.0033608543780654365,17895,0.0021291077,0.0023428254148887273,17892
19,0.0021999050526277097,0.0033608543780654365,18816,0.001953,0.0023428254148887273,18128
20,0.0029722452,0.0033608543780654365,19187,0.0023809671,0.0023809671,19187
